discipline_title,lab_title,equipment,capacity,duration_minutes,room_number,training_center_number,teacher_name,groups_sample,source_sheets,check_ok,review_comment
Вспомогательные процессы обогащения,Изучение влияния плотности пульпы на скорость ее расслоения,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С , Трубка классифицирующая,",2,90,3120,1,Ромашев А.О.,ОП-18,2021-2022,,
Вспомогательные процессы обогащения,Изучение влияния плотности пульпы на скорость ее расслоения,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С , Трубка классифицирующая,",2,90,3122,1,Яковлева Т.А./Кузнецов В.В.,ОП-20,2023-2024 уч.год,,
Вспомогательные процессы обогащения,Изучение закономерностей термической сушки,"Шкаф сушильный Binder FD115, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",2,90,3120,1,Ромашев А.О.,ОП-18,2021-2022,,
Вспомогательные процессы обогащения,Изучение закономерностей термической сушки,"Шкаф сушильный Binder FD115, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",2,90,3122,1,Яковлева Т.А./Кузнецов В.В.,ОП-20,2023-2024 уч.год,,
Вспомогательные процессы обогащения,Исследование сгущения пульпы и осветления шламовых вод под воздействием коагулянтов и флокулянтов,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",2,90,3120,1,Ромашев А.О.,ОП-18,2021-2022,,
Вспомогательные процессы обогащения,Исследование сгущения пульпы и осветления шламовых вод под воздействием коагулянтов и флокулянтов,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",2,90,3122,1,Яковлева Т.А./Кузнецов В.В.,ОП-20,2023-2024 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №1. Определение коеффициента пористости и скорости естественной фильтрации. Часть 1,"Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С, прободелитель Vilitec RSD200, анализатор ситовой A12 с набором сит с набором из 15 сит, фильтровальная установка.",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №1. Определение коеффициента пористости и скорости естественной фильтрации. Часть 2,"Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С, прободелитель Vilitec RSD200, анализатор ситовой A12 с набором сит с набором из 15 сит, фильтровальная установка.",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №2. Изучение влияния плотности пульпы на скорость ее расслоения. Часть 1,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С , Трубка классифицирующая.",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №2. Изучение влияния плотности пульпы на скорость ее расслоения. Часть 2,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С , Трубка классифицирующая.",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №3. Исследование сгущения пульпы и осветления шламовых вод под воздействием коагулянтов и флокулянтов,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",2,90,3120,1,"Ромашев А.О.,Абурова В.А.,Прохорова Е.О.",ОП-21,2024-2025 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №3. Исследование сгущения пульпы и осветления шламовых вод под воздействием коагулянтов и флокулянтов. Часть 1,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №3. Исследование сгущения пульпы и осветления шламовых вод под воздействием коагулянтов и флокулянтов. Часть 2,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №3. Исследование сгущения пульпы и осветления шламовых вод под воздействием коагулянтов и флокулянтов. Часть 3,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №3. Исследование сгущения пульпы и осветления шламовых вод под воздействием коагулянтов и флокулянтов. Часть 4,"Сгуститель 55СГ, Весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №4. Определение скорости и констант фильтрования на вакуум-фильтре,"Прибор вакуумного фильтрования WaterVac 100, фильтр лабораторный 55ФТ (в комплекте с компрессором), балластный гидравлический пресс Ofite, весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",2,90,3120,1,"Ромашев А.О.,Абурова В.А.,Прохорова Е.О.",ОП-21,2024-2025 уч.год,,
Вспомогательные процессы обогащения,Лаб. работа №4. Определение скорости и констант фильтрования на вакуум-фильтре. Часть 1,"Прибор вакуумного фильтрования WaterVac 100, фильтр лабораторный 55ФТ (в комплекте с компрессором), балластный гидравлический пресс Ofite, весы лабораторные до 6 кг (d=0,1 г) Сартогосм СЕ6101-С",4,90,3120,1,,ОП-22,2025-2026 уч.год,,
